A,00100010101000110001111111000110001
B,11110100011000111110100011000111110
C,01110100011000010000100001000101110
D,11110100011000110001100011000111110
E,11110100001000011100100001000011110
F,11111100001000011110100001000010000
G,01110100011000010000100111000101110
H,10001100011000111111100011000110001
I,11111001000010000100001000010011111
J,00001000010000100001000011000101110
K,10001100101010011000101001001010001
L,10000100001000010000100001000011111
M,10001110111101110101100011000110001
N,10001110011100110101100111001110001
O,01110100011000110001100011000101110
P,11110100011000111110100001000010000
Q,01110100011000110001101011001101111
R,11110100011000111110100101000110001
S,01111100001000001110000010000111110
T,11111001000010000100001000010000100
U,10001100011000110001100011000101110
V,10001100011000110001100010101000100
W,10001100011000110101101011010101010
X,10001100010101000100010101000110001
Y,10001100011000101010001000010000100
Z,11111000010001000100010001000011111
0,01110110011100110101100111001101110
1,01100101000010000100001000010011111
2,01110100010001000100010001000011111
3,11110000010000101110000010000111110
4,10010100101001011111000100001000010
5,11111100001000011110000010000111110
6,01111100001000011110100011000101110
7,01111000010000100010000100010000100
8,01110100011000101110100011000101110
9,01111100011000101111000010000100001
